url,property_code,property_type,member_code,agency_code,type_slug,price_baht,price_history,province,district,subdistrict,deed_type,land_size,usable_area,bedrooms,bathrooms,contact_name,agency_name,contact_info,source_url,posted_date,updated_date,is_auction,scraped_at
https://www.taladnudbaan.com/property/residential-land-lot/LED/2008778,LED260402987085,ที่ดินเปล่า,LED,2008778,residential-land-lot,110000,,ระยอง,เมืองระยอง,เพ,128204,"0 ไร่, 0 งาน, 22 ตร.ว.",,,,"นางสาวภัทรกัญยาณ์ ครุฑฤทธิ์จักร์,นายศุภณัฐ คงนวล",กรมบังคับคดี,"(038)620888,615317",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2564&Law_Court_ID=207&deed_no=128204&addrno=-&law_suit_no=%BC%BA.105,23-เม.ย.-69,23-เม.ย.-69,TRUE,05:39.5
https://www.taladnudbaan.com/property/residential-land-lot/LED/2026642,LED260327980199,ที่ดินเปล่า,LED,2026642,residential-land-lot,110000,,ลำปาง,ห้างฉัตร,แม่สัน,13293,"1 ไร่, 0 งาน, 40 ตร.ว.",,,,"นายเอนก อินต๊ะวงศ์,",กรมบังคับคดี,"(054)224920,226660",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2566&Law_Court_ID=510&deed_no=13293&addrno=-&law_suit_no=%BC%BA.307,1-เม.ย.-69,19-มิ.ย.-69,TRUE,05:40.7
https://www.taladnudbaan.com/property/residential-land-lot/LED/1984040,LED260206943243,ที่ดินเปล่า,LED,1984040,residential-land-lot,109980,,ลำปาง,เสริมงาม,เสริมซ้าย,26766,"1 ไร่, 2 งาน, 11 ตร.ว.",,,,"นายเอนก อินต๊ะวงศ์,",กรมบังคับคดี,"(054)224920,226660",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2565&Law_Court_ID=503&deed_no=26766&addrno=-&law_suit_no=%BC%BA.106,9-ก.พ.-69,22-มิ.ย.-69,TRUE,05:42.1
https://www.taladnudbaan.com/property/residential-land-lot/LED/1951159,LED260315972901,ที่ดินเปล่า,LED,1951159,residential-land-lot,109850,,แพร่,เมืองแพร่,บ้านถิ่น,29164,"0 ไร่, 1 งาน, 69 ตร.ว.",,,,"นายธวัชชัย ลือเท่ง,",กรมบังคับคดี,(054)521047-8,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2557&Law_Court_ID=507&deed_no=29164&addrno=-&law_suit_no=%BC%BA.693,23-เม.ย.-69,23-เม.ย.-69,TRUE,05:43.5
https://www.taladnudbaan.com/property/residential-land-lot/LED/1902164,LED260206937989,ที่ดินเปล่า,LED,1902164,residential-land-lot,109800,,สุราษฎร์ธานี,กาญจนดิษฐ์,กะแดะ,27684,"0 ไร่, 1 งาน, 22 ตร.ว.",,,,"นางสาวฐิติพร สุจวิพันธ์,นางวรรณี อินทรสาร",กรมบังคับคดี,(077)355381-2,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2546&Law_Court_ID=013&deed_no=27684&addrno=-&law_suit_no=%AA.2051,9-ก.พ.-69,19-มิ.ย.-69,TRUE,05:44.7
https://www.taladnudbaan.com/property/residential-land-lot/LED/1883067,LED251011872943,ที่ดินเปล่า,LED,1883067,residential-land-lot,109800,,แพร่,วังชิ้น,นาพูน,397,"1 ไร่, 2 งาน, 10 ตร.ว.",,,,"นางกสิณา พรหมลา,",กรมบังคับคดี,(054)521047-8,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2562&Law_Court_ID=507&deed_no=397&addrno=-&law_suit_no=%E0%B8%9C%E0%B8%9A.1865,12-พ.ย.-68,11-มิ.ย.-69,TRUE,05:46.2
https://www.taladnudbaan.com/property/townhouse/LED/2046106,LED2605081006286,ทาวน์เฮ้าส์,LED,2046106,townhouse,109780,,อุบลราชธานี,เมืองอุบลราชธานี,ขามใหญ่,11615,"0 ไร่, 0 งาน, 19 ตร.ว.",,,,"นายกิจจา ศรีเสริม,นายอัฐพงศ์ พรมโคตร",กรมบังคับคดี,(045)311418-20,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2552&Law_Court_ID=302&deed_no=11615&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9&law_suit_no=%BC%BA.275,8-พ.ค.-69,8-พ.ค.-69,TRUE,05:47.5
https://www.taladnudbaan.com/property/residential-land-lot/LED/2022221,LED260316976306,ที่ดินเปล่า,LED,2022221,residential-land-lot,109750,,พัทลุง,เมืองพัทลุง,นาโหนด,3831,"0 ไร่, 1 งาน, 15 ตร.ว.",,,,"นายเวนิชย์ พฤกษารัตน์,นางสาวอารีย์ ฉิมประสิทธิ์",กรมบังคับคดี,"(074)611677,612401",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2567&Law_Court_ID=816&deed_no=3831&addrno=-&law_suit_no=%BC%BAE.2137,23-เม.ย.-69,15-มิ.ย.-69,TRUE,05:48.8
https://www.taladnudbaan.com/property/residential-land-lot/LED/1983624,LED260220954528,ที่ดินเปล่า,LED,1983624,residential-land-lot,109725,,สกลนคร,อากาศอำนวย,อากาศ,28201,"1 ไร่, 2 งาน, 27 ตร.ว.",,,,"นางธมลพรรณ ชาบัว,นางสาวรุ่งทิวา ภูคงคำ",กรมบังคับคดี,(042)716297-8,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2558&Law_Court_ID=405&deed_no=28201&addrno=-&law_suit_no=%BC%BA.421,13-มี.ค.-69,19-มิ.ย.-69,TRUE,05:50.2
https://www.taladnudbaan.com/property/residential-land-lot/LED/1946045,LED260129935140,ที่ดินเปล่า,LED,1946045,residential-land-lot,109725,,อุบลราชธานี,เมืองอุบลราชธานี,ขามใหญ่,56791,"0 ไร่, 1 งาน, 33 ตร.ว.",,,,"นายกิจจา ศรีเสริม,นายอัฐพงศ์ พรมโคตร",กรมบังคับคดี,(045)311418-20,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2556&Law_Court_ID=320&deed_no=56791&addrno=-&law_suit_no=%BC%BA.4628,9-ก.พ.-69,19-มิ.ย.-69,TRUE,05:51.5
