url,property_code,property_type,member_code,agency_code,type_slug,price_baht,price_history,province,district,subdistrict,deed_type,land_size,usable_area,bedrooms,bathrooms,contact_name,agency_name,contact_info,source_url,posted_date,updated_date,is_auction,scraped_at
https://www.taladnudbaan.com/property/residential-land-lot/LED/2037755,,,,,,,,,,,,,,,,,,,,,,,34:39.3
https://www.taladnudbaan.com/property/residential-land-lot/LED/2029912,LED2604271000103,ที่ดินเปล่า,LED,2029912,residential-land-lot,47800,,เพชรบูรณ์,หล่มเก่า,ศิลา,12271,"1 ไร่, 0 งาน, 78 ตร.ว.",,,,"นางสาวเสาวลักษณ์ จันทร์ส่งสิงห์,นางสาวพัชราภรณ์ อุดมสิริยศ",กรมบังคับคดี,"(056)704416,701571",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2568&Law_Court_ID=614&deed_no=12271&addrno=-&law_suit_no=%BC%BAE.406,22-พ.ค.-69,22-พ.ค.-69,TRUE,34:40.6
https://www.taladnudbaan.com/property/residential-land-lot/LED/2060217,LED2605101010422,ที่ดินเปล่า,LED,2060217,residential-land-lot,47800,,สงขลา,บางกล่ำ,ท่าช้าง,21682,"0 ไร่, 0 งาน, 23.90 ตร.ว.",,,,"นางสาวทปญา หนูเกื้อ,นายภานุวัฒน์ ปานประดิษฐ์",กรมบังคับคดี,"(074)311292,314904",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2565&Law_Court_ID=908&deed_no=21682&addrno=-&law_suit_no=%BC%BAE.3752,22-พ.ค.-69,22-พ.ค.-69,TRUE,34:42.0
https://www.taladnudbaan.com/property/residential-land-lot/LED/2072711,LED2605311023208,ที่ดินเปล่า,LED,2072711,residential-land-lot,47790,,นครราชสีมา,บัวใหญ่,บัวใหญ่,45541,"0 ไร่, 2 งาน, 65.50 ตร.ว.",,,,"นายคุณานนต์ อนุโลก,นายสิทธิชัย แดนนารินทร์",กรมบังคับคดี,(044)462992-3,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2567&Law_Court_ID=324&deed_no=45541&addrno=-&law_suit_no=%BC%BAE.34,5-มิ.ย.-69,5-มิ.ย.-69,TRUE,34:43.3
https://www.taladnudbaan.com/property/residential-land-lot/LED/2000751,LED260410993326,ที่ดินเปล่า,LED,2000751,residential-land-lot,47775,,ขอนแก่น,หนองสองห้อง,หันโจด,29269,"0 ไร่, 2 งาน, 45 ตร.ว.",,,,"นายณฐพล พลีศักดิ์,นางวิภาดา นิลศิริ",กรมบังคับคดี,"(043) 415687,415755",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2560&Law_Court_ID=103&deed_no=29269&addrno=-&law_suit_no=%BC%BA.596,23-เม.ย.-69,23-เม.ย.-69,TRUE,34:44.6
https://www.taladnudbaan.com/property/residential-land-lot/LED/2040529,LED2604271001607,ที่ดินเปล่า,LED,2040529,residential-land-lot,47752,,เพชรบูรณ์,หนองไผ่,บัววัฒนา,37842,"0 ไร่, 1 งาน, 1.60 ตร.ว.",,,,"นางสาวชลธิดา บุตรชน,นายอภินันท์ จันมี",กรมบังคับคดี,(056)713584-5,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2568&Law_Court_ID=632&deed_no=37842&addrno=-&law_suit_no=%E0%B8%9C%E0%B8%9AE.2503,28-เม.ย.-69,11-มิ.ย.-69,TRUE,34:46.0
https://www.taladnudbaan.com/property/residential-land-lot/LED/2012980,LED260315973265,ที่ดินเปล่า,LED,2012980,residential-land-lot,47718,,แพร่,หนองม่วงไข่,วังหลวง,7060,"0 ไร่, 2 งาน, 65.10 ตร.ว.",,,,"นายธวัชชัย ลือเท่ง,",กรมบังคับคดี,(054)521047-8,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2567&Law_Court_ID=507&deed_no=7060&addrno=-&law_suit_no=%BC%BAE.548,23-เม.ย.-69,23-เม.ย.-69,TRUE,34:47.4
https://www.taladnudbaan.com/property/single-house/LED/1891669,,,,,,,,,,,,,,,,,,,,,,,34:47.7
https://www.taladnudbaan.com/property/residential-land-lot/LED/2055200,LED2605071004777,ที่ดินเปล่า,LED,2055200,residential-land-lot,47710,,นครราชสีมา,ครบุรี,โคกกระชาย,13152,"0 ไร่, 3 งาน, 67 ตร.ว.",,,,"นางสาวประภาภรณ์ รอดเมือง,นายปรีดา ญาตินิยม",กรมบังคับคดี,"(044)242589, 219091,243161 ต่อ11,13,14",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2561&Law_Court_ID=323&deed_no=13152&addrno=-&law_suit_no=%BC%BA.1544,22-พ.ค.-69,22-พ.ค.-69,TRUE,34:49.1
https://www.taladnudbaan.com/property/townhouse/LED/1963317,LED260206941239,ทาวน์เฮ้าส์,LED,1963317,townhouse,47700,,แพร่,สูงเม่น,ร่องกาศ,59710,"0 ไร่, 0 งาน, 10 ตร.ว.",,,,"นายธวัชชัย ลือเท่ง,",กรมบังคับคดี,(054)521047-8,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2566&Law_Court_ID=507&deed_no=59710&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9&law_suit_no=%BC%BAE.1117,9-ก.พ.-69,11-พ.ค.-69,TRUE,34:50.4
https://www.taladnudbaan.com/property/residential-land-lot/LED/1991570,LED260210950545,ที่ดินเปล่า,LED,1991570,residential-land-lot,47600,,นครราชสีมา,ครบุรี,อรพิมพ์,25232,"0 ไร่, 1 งาน, 36 ตร.ว.",,,,"นางสาวสลิลทิพย์ ศรีทรัพย์,นางสาวประภาภรณ์ รอดเมือง",กรมบังคับคดี,"(044)242589, 219091,243161 ต่อ11,13,14",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2557&Law_Court_ID=323&deed_no=25232&addrno=-&law_suit_no=%BC%BA.202,22-พ.ค.-69,26-มิ.ย.-69,TRUE,34:51.8
https://www.taladnudbaan.com/property/residential-land-lot/LED/2071812,LED2605311023426,ที่ดินเปล่า,LED,2071812,residential-land-lot,47600,,สุรินทร์,ลำดวน,โชคเหนือ,5435,"0 ไร่, 1 งาน, 19 ตร.ว.",,,,"นายสมบัติ ศรีนาคา,",กรมบังคับคดี,"(044)511895,511898",http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2568&Law_Court_ID=123&deed_no=5435&addrno=-&law_suit_no=%BE%B3E.135,5-มิ.ย.-69,5-มิ.ย.-69,TRUE,34:53.1
https://www.taladnudbaan.com/property/residential-land-lot/LED/1923146,LED251203896206,ที่ดินเปล่า,LED,1923146,residential-land-lot,47600,,นครสวรรค์,ท่าตะโก,หนองหลวง,24826,"0 ไร่, 2 งาน, 38 ตร.ว.",,,,"นายศักดา ศาสตรานนท์,นายไกรสร ลุงกุย",กรมบังคับคดี,(056)882266 - 7,http://asset.led.go.th/newbidreg/asset_open_reg.asp?law_suit_year=2562&Law_Court_ID=602&deed_no=24826&addrno=-&law_suit_no=%BC%BA.526,4-ธ.ค.-68,15-มิ.ย.-69,TRUE,34:54.4
